,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Discrete,Discrete,Discrete,Discrete,Discrete,Continuous,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction Group,Infraction Group,Infraction Group,Vol,Vol,Vol,Vol,Vol,Vol,Vol,Vol,Vol,Solvabilité,Solvabilité,Solvabilité,Solvabilité,Solvabilité,Solvabilité,Solvabilité,Solvabilité,Contexte,Contexte,Contexte,Contexte,Contexte,Contexte,Contexte,Contexte,Contexte,Contexte
,Résolution,Date crime,Tentative,Nature du lieu,Lieu,Moyen de transport utilisé,Arme utilisée,Motif apparent,Lien avec,Victime connaît l'auteur,Service saisi,Motif changement service,Détection des faits,Intervenants sur les lieux de l'infraction,Etude de pistes alternatives,Processus d'enquête,solvabilité,Heure crime,Nombre de services successivement saisis,Nb enquêteur successivement responsable,Nb enquêteur ayant travaillé sur le dossier,solvabilité,Durée d'enquête,0 DECOUVERTE CADAVRE,7 AUTRES COUPS ET BLESSURES VOLONTAIRES CRIMINELS OU CORRECTIONNELS,11 MENACES OU CHANTAGES POUR EXTORSION DE FONDS,12 MENACES OU CHANTAGES DANS UN AUTRE BUT,13 ATTEINTES A LA DIGNITE ET A LA PERSONNALITE,25 VOLS AVEC VIOLENCES SANS ARMES CONTRE DES FEMMES SUR LA VOIE PUBLIQUE OU AUTRE LIEU PUBLIC,27 CAMBRIOLAGES DE LOCAUX D HABITATION PRINCIPALE,"29 CAMBRIOLAGES DE LOCAUX INDUSTRIELS, COMMERCIAUX OU FINANCIERS",30 CAMBRIOLAGES D AUTRES LIEUX,31 VOLS AVEC ENTREE PAR RUSE EN TOUS LIEUX,32 VOLS A LA TIRE,33 VOLS A L ETALAGE,34 VOLS DE VEHICULES DE TRANSPORT AVEC FRET,35 VOLS D AUTOMOBILES,36 VOLS DE VEHICULES MOTORISES A DEUX ROUES,37 VOLS A LA ROULOTTE,38 VOLS D ACCESSOIRES SUR VEHICULES A MOTEUR IMMATRICULES,42 AUTRES VOLS SIMPLES CONTRE DES PARTICULIERS DANS DES LOCAUX PRIVES,43 AUTRES VOLS SIMPLES CONTRE DES PARTICULIERS DANS DES LOCAUX OU LIEUX PUBLICS,44 RECELS,47 VIOLS SUR DES MINEUR(E)S,49 HARCELEMENTS SEXUELS ET AUTRES AGGRESSIONS SEXUELLES CONTRE DES MINEUR(E)S,50 ATTEINTES SEXUELLES,53 DELITS AU SUJET DE LA GARDE DES MINEURS,54 NON VERSEMENTS DE PENSION ALIMENTAIRE,55 TRAFIC ET REVENTE SANS USAGE DE STUPEFIANTS,56 USAGE - REVENTE DE STUPEFIANTS,57 USAGE DE STUPEFIANTS,58 AUTRES INFRACTIONS A LA LEGISLATION SUR LES STUPEFIANTS,64 ATTENTATS A L EXPLOSIF CONTRE DES BIENS PUBLICS,66 AUTRES DESTRUCTIONS ET DEGRADATIONS DE BIENS PUBLICS,67 AUTRES DESTRUCTIONS ET DEGRADATIONS DE BIENS PRIVES,68 DESTRUCTIONS ET DEGRADATIONS DE VEHICULES PRIVES,73 VIOLENCES A DEPOSITAIRES DE L AUTORITE,74 PORT OU DETENTION D ARMES PROHIBEES,81 FAUX DOCUMENTS D IDENTITE,84 FAUX EN ECRITURE PUBLIQUE ET AUTHENTIQUE,85 AUTRES FAUX EN ECRITURE,91 ESCROQUERIES ET ABUS DE CONFIANCE,93 TRAVAIL CLANDESTIN,107 AUTRES DELITS,ATTEINTES AUX BIENS,ATTEINTES AUX PERSONNES,INFRACTIONS A LA REGLEMENTATION,Accessoires de véhicule,Autres objets identifiables par la victime,Autres objets non identifiables par la victime,Bijoux,Documents d'identité,Informatique / multimédia,Numéraire,Téléphone,Véhicule,Objets traçables,Prélèvements dont l'exploitabilité n'est pas déterminée à ce stade,Prélèvements exploitables,Suspect identifiable,Suspect identifié,Suspect interpellé,Véhicule identifiable,Véhicule identifié,"FAUT - Négligence, inertie ou faute de l'enquêteur ou du magistrat",FIN - Refus d'un acte d'enquête essentiel  par le magistrat au regard du coût financier,GR - Gravité ou sensibilité des faits,"PERT - Acte d'investigation réalisé tardivement ayant entraîné perte d'éléments d'enquête (constatations, exploitation PTS, vidéo-protection, téléphonie, témoignage, … ) ",POL - Pollution de la scène d'infraction par 1ers intervenants ou victime,"RENS - L'enquête a été l'occasion de collecter du renseignement directement utile (autre enquête, connaissance délinquance, …)",RET - Retard manifeste d'une réponse à réquisition / expertise,STAT - Catégorie de crime faisant l'objet d'une pression statistique,UNI - Procédure traitée en PV unique,VAL - Affaire représentant un enjeux de valorisation personnelle pour l'enquêteur
Référence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Résolu - Total,Déterminé – Infraction continue,N,Public,Voie publique,Inconnu,Aucune,Rationalité,Un trafic de stupéfiants,Non,UT,Sans objet,Unité en patrouille,Patrouilleur,0,Pro-actif - Initiative (ICLA),2,Non déterminé - inconnu,1,1,7,2,98,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
581,Résolu - Total,Déterminé - Date précise ,N,Public,Hôtel,Aucun,Aucune,Négligence / Imprudence,Consommation d'alcool ou de drogue,Non,UT,Sans objet,Témoin direct (autre),Aucun,0,Réactif - Auto-résolution (CILA),1,Non déterminé - inconnu,1,1,4,1,28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
571,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Privé,Chambre d'hôtel,Aucun,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,1,Réactif – Investigation (CILA),1,Déterminé - Matin (07-12h00),1,1,2,1,24,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
561,Résolu - Total,Déterminé - Date précise ,N,Privé,Habitation individuelle,Aucun,Arme blanche / contondante,Emotion,Consommation d'alcool ou de drogue,Membre famille,UT,Sans objet,Victime appel,Patrouilleur,0,Réactif - Flagrant-délit (LCIA),1,Déterminé - Nuit 1 (22-02h00),1,1,1,1,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
551,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Privé,Habitation collective,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime appel,Patrouilleur,0,Réactif – Investigation (CILA),1,Non déterminé - Découverte au matin,1,1,3,1,43,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
541,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Public,Parties communes immeuble,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Déterminé - Soir (17-22h00),1,1,2,1,77,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
531,Non résolu - Auteur non identifié,Déterminé - Date précise ,O,Public,Voie publique,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Déterminé - Matin (07-12h00),1,1,2,1,22,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
521,Résolu - Total,Déterminé - Date précise ,N,Privé,Habitation collective,Aucun,Arme blanche / contondante,Emotion,Aucun,Membre famille,UT,Sans objet,Témoin indirect (voisin),Patrouilleur,0,Réactif - Flagrant-délit (LCIA),1,Déterminé - Après-midi (12-17h00),1,1,4,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
519,Non résolu - Infraction non constituée,Déterminé - Date précise ,N,Public,Voie publique,Aucun,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime appel,patrouilleur,1,Réactif – Investigation (CILA),1,Déterminé - Nuit 1 (22-02h00),1,1,11,1,56,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
518,Résolu - Total,Déterminé - Date précise ,N,Public,Voie publique,Piéton,Arme blanche / contondante,Emotion,Aucun,Membre famille,UT,Sans objet,Victime appel,Patrouilleur,0,Réactif - Flagrant-délit (LCIA),1,Déterminé - Après-midi (12-17h00),1,1,5,1,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
517,Résolu - Total,Déterminé - Date précise ,N,Privé,Habitation collective,Aucun,Aucune,Emotion,Aucun,Membre famille,UT,Sans objet,Témoin direct (autre),Aucun,0,Réactif - Auto-résolution (CILA),1,Non déterminé - inconnu,1,1,5,1,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
